#TYPE Selected.System.Management.Automation.PSCustomObject
"Success","Found","Updated","Address","Username","Status","AccountName"
"False","False","False","conn01.saascorp.local","PSM-3100000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-3100000000000000-a50de838-9588-4933-a6e0-f4fa2946fdd5"
"False","False","False","conn01.saascorp.local","PSM-3800000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-3800000000000000-a9dd7f8f-8926-413d-8040-cd3e61f3b012"
"False","False","False","conn01.saascorp.local","PSM-5600000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-5600000000000000-352dbe86-cb5b-44e1-8b33-bb159e93234f"
"False","False","False","conn01.saascorp.local","PSM-6200000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-6200000000000000-71ad6181-b93a-4e74-adfc-8134ce3bffea"
"False","False","False","conn01.saascorp.local","PSM-8200000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-8200000000000000-077f9fce-d561-4859-90be-d9f1dbe60dfb"
"False","False","False","conn01.saascorp.local","PSM-9700000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-9700000000000000-c4d5cdf5-fa4a-4031-ad32-8169f16e43cf"
"False","False","False","conn01.saascorp.local","PSM-9F00000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-9F00000000000000-9973bc92-4889-4e38-a71b-6d2cd50eefce"
"False","False","False","conn01.saascorp.local","PSM-AC00000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-AC00000000000000-345e149e-c09f-401d-be4a-824061781c65"
"False","False","False","conn01.saascorp.local","PSM-B000000000000000","No Address Found, manual update required","conn01.saascorp.local-PSM-B000000000000000-a4a0f656-987b-4bcb-b456-d23c5549a759"
"False","False","False","CONN-UM-01.argon.local","Administrator","No Address Found, manual update required","CONN-UM-01.argon.local-Administrator-9e3b5b8c-65cf-4ac1-8755-8afd469f0b43"
"False","False","False","CONN-UM-01.argon.local","PasswordManagerUser","No Address Found, manual update required","CONN-UM-01.argon.local-PasswordManagerUser-5338ab23-628d-4c7a-876f-ea48c1a73218"
"False","False","False","cwlab.int","cyberarkadmin","No Address Found, manual update required","Operating System-WinDomain-cwlab.int-cyberarkadmin"
"False","False","False","cyberark.cloud.1024","michael.kinsella","No Address Found, manual update required","Operating System-mk-demo-cyberark.cloud.1024-michael.kinsella"
"False","False","False","cyberark.cloud.1024","mkinsella","No Address Found, manual update required","Operating System-mk-test-cyberark.cloud.1024-mkinsella"
"False","False","False","cybr.local","a-jake","No Address Found, manual update required","Operating System-MM-Win-Dom-cybr.local-a-jake"
"False","False","False","cybrlab.local","testadmin1","No Address Found, manual update required","Operating System-BOD-WIN-DOM-cybrlab.local-testadmin1"
"False","False","False","DC-02.UMAM.pcloud","Testone","No Address Found, manual update required","Operating System-Win-DOM-AM-DC-02.UMAM.pcloud-Testone"
"False","False","False","delete me","deleteme","No Address Found, manual update required","Operating System-mk-test-delete me-deleteme"
"False","False","False","ds-lab.local","domainadmin01","No Address Found, manual update required","Operating System-Drew_Saffrin_test1-Win-Dom-dslab-ds-lab.local-domainadmin01"
"False","False","False","dualcontroltest","DCtest","No Address Found, manual update required","Operating System-MK-DemoTier1SecurityHigh-dualcontroltest-DCtest"
"False","False","False","EC2AMAZ-B03NQ0S","Administrator","No Address Found, manual update required","FletchAWSStrong"
"False","False","False","eds.migration","user02","No Address Found, manual update required","Operating System-EDS-DA-eds.migration-user02"
"False","False","False","eds-lab.local","esarikas","No Address Found, manual update required","Operating System-WinDomain-eds-lab.local-esarikas"
"False","False","False","fletch.local","da_tfletch","No Address Found, manual update required","Fletch-DA_tfletch"
"False","False","False","hbotha.local","CA-Reconcile","No Address Found, manual update required","Reconcile-hbotha.local"
"False","False","False","hbotha.local","CA-T0Admin","No Address Found, manual update required","Operating System-HBOTHA-WinDom-hbotha.local-ca-admin"
"False","False","False","hbotha.local","CA-T1Admin","No Address Found, manual update required","Operating System-HBOTHA-WinDom-hbotha.local-CA-T1Admin"
"False","False","False","HBOTHA.LOCAL","PSMAdminConnect","No Address Found, manual update required","HBOTHA_PSMAdminConnect"
"False","False","False","HBOTHA.LOCAL","PSMConnect","No Address Found, manual update required","HBOTHA_PSMConnect"
"False","False","False","host-1.am.pcloud","Abyi2","No Address Found, manual update required","Operating System-Win-DOM-AM-host-1.am.pcloud-Abyi2"
"False","False","False","host-1.am.pcloud","tester1","No Address Found, manual update required","Operating System-Win-DOM-AM-host-1.am.pcloud-tester1"
"False","False","False","karimdc.mydomain.com","karim","No Address Found, manual update required","Operating System-WindowsDomainAccountKarimh-karimdc.mydomain.com-karim"
"False","False","False","karimdc.mydomain.com","mounir","No Address Found, manual update required","Operating System-WinDomain-karimdc.mydomain.com-mounir"
"False","False","False","lab","domainnetbios","No Address Found, manual update required","Operating System-BAB-WindowsDomainAccount-lab-domainnetbios"
"False","False","False","Laptop1@saascorp.local","localadmin","No Address Found, manual update required","Operating System-WinLooselyDevice-Laptop1@saascorp.local-localadmin"
"False","False","False","marshycloud.local","iain","No Address Found, manual update required","Operating System-WindowsDomainIainMarsh-marshycloud.local-iain"
"False","False","False","mclmcloud.local","carecon","No Address Found, manual update required","Operating System-MM-Win-Dom-mclmcloud.local-carecon"
"False","False","False","mclmcloud.local","mmcaughey1","No Address Found, manual update required","Operating System-MM-Win-Dom-mclmcloud.local-mmcaughey1"
"False","False","False","MCLMCLOUD.LOCAL","PSMAdminConnect1","No Address Found, manual update required","MMAdminConnect"
"False","False","False","MCLMCLOUD.LOCAL","PSMConnect1","No Address Found, manual update required","MMConnect"
"False","False","False","mclmcloud.local","testservice","No Address Found, manual update required","Operating System-MM-Win-Dom-mclmcloud.local-testservice"
"False","False","False","mm.mclmcloud.local","mm","No Address Found, manual update required","Operating System-WinDesktopLocal-mm.mclmcloud.local-mm"
"False","False","False","mydomain","PSMAdminConnect","No Address Found, manual update required","Operating System-WinDomain-mydomain-PSMAdminConnect"
"False","False","False","mydomain","PSMConnect","No Address Found, manual update required","Operating System-WinDomain-mydomain-PSMConnect"
"False","False","False","mydomain","PSMConnect","No Address Found, manual update required","PSMServer_LB"
"False","False","False","mylab.local","administrator","No Address Found, manual update required","Operating System-BilalAWindowsDomainAccount-mylab.local-administrator"
"False","False","False","mylab.local","psmadminconnect","No Address Found, manual update required","PSMAdminConnectbilalmylabdomain"
"False","False","False","mylab.local","psmconnect","No Address Found, manual update required","PSMConnectbilalmylabdomain"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMAC","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","Bod-UM-PSMC","No Address Found, manual update required","PSMConnect"
"False","False","False","pcloud-london.com","sharedadm-um","No Address Found, manual update required","Operating System-BOD-WIN-DOM-pcloud-london.com-sharedadm-um"
"False","False","False","pcloud-london.com","svc_DPA_Strong","No Address Found, manual update required","pcloud-london.com_DPA"
"False","False","False","pcloud-london.com","testUMadm","No Address Found, manual update required","Operating System-BOD-WIN-DOM-pcloud-london.com-testUMadm"
"False","False","False","popeconcm.popelabsh.local","administrator","No Address Found, manual update required","Operating System-pope-win-server-local-popeconcm.popelabsh.local-administrator"
"False","False","False","popelabsh.local","bpope","No Address Found, manual update required","Operating System-PopeWindowsDomainAcct-popelabsh.local-bpope"
"False","False","False","popelabsh.local","fpope","No Address Found, manual update required","Operating System-PopeWindowsDomainAcct-popelabsh.local-fpope"
"False","False","False","popelabsh.local","zpope","No Address Found, manual update required","Operating System-PopeWindowsDomainAcct-popelabsh.local-zpope"
"False","False","False","RMCYB","RMCYB_Reconcile","No Address Found, manual update required","RMCYB_Reconcile"
"False","False","False","RMCYB.LOCAL","RMPSMAdminConnect","No Address Found, manual update required","RMPSMAdminConnect"
"False","False","False","RMCYB.LOCAL","RMPSMConnect","No Address Found, manual update required","RMPSMConnect"
"False","False","False","RMCYB.Local","RMTEST","No Address Found, manual update required","RMTEST"
"False","False","False","saascorp.local","Administrator","No Address Found, manual update required","saascorp.local-Administrator-b8e48eb5-d519-4c95-a955-8a3d5d6cc597"
"False","False","False","saascorp.local","alawson_admin","No Address Found, manual update required","Operating System-AL-Windows-Domain-Admin-Accounts-saascorps.local-alawson_admin"
"False","False","False","saascorp.local","alawson_da1","No Address Found, manual update required","Operating System-MM-Win-Dom-saascorp.local-alawson_da1"
"False","False","False","saascorp.local","ATLadmin01","No Address Found, manual update required","Operating System-ATL-Dual-Control-OTP-saascorp.local-ATLadmin01"
"False","False","False","saascorp.local","dpa","No Address Found, manual update required","Operating System-EDS-DA-saascorp.local-dpa"
"False","False","False","saascorp.local","esarikas","No Address Found, manual update required","Operating System-UMDomainAdmin-saascorp.local-esarikas"
"False","False","False","saascorp.local","henningadm","No Address Found, manual update required","Operating System-HenningBothaDomain-saascorp.local-henningadm"
"False","False","False","saascorp.local","MEH-DA1","No Address Found, manual update required","Operating System-MEH-DomainAdmins-saascorp.local-MEH-DA1"
"False","False","False","saascorp.local","MEH-DA2","No Address Found, manual update required","Operating System-MEH-DomainAdmins-saascorp.local-MEH-DA2"
"False","False","False","saascorp.local","MEH-DA3","No Address Found, manual update required","Operating System-MEH-DomainAdmins-saascorp.local-MEH-DA3"
"False","False","False","saascorp.local","MEH-HELPDESK1","No Address Found, manual update required","Operating System-MEH-WindowsDomainAccount-saascorp.local-MEH-HELPDESK1"
"False","False","False","saascorp.local","MEH-SA1","No Address Found, manual update required","Operating System-MEH-UNIXDomianAccount-saascorp.local-MEH-SA1"
"False","False","False","saascorp.local","MEH-SA2","No Address Found, manual update required","Operating System-MEH-UNIXDomianAccount-saascorp.local-MEH-SA2"
"False","False","False","saascorp.local","MEH-SA3","No Address Found, manual update required","Operating System-MEH-WindowsDomainAccount-saascorp.local-MEH-SA3"
"False","False","False","saascorp.local","MEH-SQL_SA1","No Address Found, manual update required","Operating System-MEH-SQLDomainAccount-saascorp.local-MEH-SQL_SA1"
"False","False","False","saascorp.local","MEH-UNIX_ADM1","No Address Found, manual update required","Operating System-MEH-UNIXDomianAccount-saascorp.local-MEH-UNIX_ADM1"
"False","False","False","saascorp.local","mkin-demo1","No Address Found, manual update required","Operating System-Mkin-DemoPlatform1-sasscorp.local-mkin-demo1"
"False","False","False","saascorp.local","mkin-demo2","No Address Found, manual update required","Operating System-mk-demo-saascorp.local-mkin-demo2"
"False","False","False","saascorp.local","mkin-test","No Address Found, manual update required","Operating System-UMDomainAdmin-saascorp.local-mkin-test"
"False","False","False","saascorp.local","mktest","No Address Found, manual update required","Operating System-UMDomainAdmin-saascorp.local-mktest"
"False","False","False","saascorp.local","PSMAdminConnect","No Address Found, manual update required","PSMAdminConnect"
"False","False","False","saascorp.local","PSMConnect","No Address Found, manual update required","PSMConnect"
"False","False","False","saascorp.local","reconcile-1","No Address Found, manual update required","reconcile-1"
"False","False","False","saascorp.local","reconcile-2","No Address Found, manual update required","reconcile-2"
"False","False","False","saascorp.local","test","No Address Found, manual update required","Operating System-PopeWindowsDomainAcct-saascorp.local-test"
"False","False","False","saascorp.local","thatguy","No Address Found, manual update required","Operating System-WINDOMSSL-Jerry-saascorp.local-thatguy"
"False","False","False","saascorps.local","alawson_ADM1","No Address Found, manual update required","Operating System-AL-Windows-Domain-Admin-Accounts-saascorps.local-alawson_ADM"
"False","False","False","saascorps.local","notmyaccount","No Address Found, manual update required","Operating System-UMDomainAdmin-saascorps.local-notmyaccount"
"False","False","False","sasscorp.local","adefrance","No Address Found, manual update required","Operating System-Win-Dom-ModernHTML5-sasscorp.local-adefrance"
"False","False","False","SERVICES.TRAINING","PSMAdminConnect","No Address Found, manual update required","PSCAdminConnectTraining"
"False","False","False","SERVICES.TRAINING","PSMConnect","No Address Found, manual update required","PSMConnectTraining"
"False","False","False","shadetreewoodshop.local","CA_Reconcile","No Address Found, manual update required","Operating System-WinDomain-cdeem-shadetreewoodshop.local-CA_Reconcile"
"False","False","False","shadetreewoodshop.local","da_cdeem","No Address Found, manual update required","Operating System-WinDomain-cdeem-shadetreewoodshop.local-da_cdeem"
"False","False","False","shadetreewoodshop.local","sa-dpa","No Address Found, manual update required","Operating System-WinDomain-cdeem-shadetreewoodshop.local-sa-dpa"
"False","False","False","shadetreewoodshop.local","WinDomainSvcUser01","No Address Found, manual update required","Operating System-WinDomain-cdeem-shadetreewoodshop.local-WinDomainSvcUser01"
"False","False","False","SQL.mclmcloud.local","MMAdmin","No Address Found, manual update required","Operating System-MM-LCD-host-1.mcmcloud.local-MMAdmin"
"False","False","False","SQL.mclmcloud.local","MMStandard","No Address Found, manual update required","Operating System-MM-LCD-host-1.mclmcloud.local-MMStandard"
"False","False","False","target.popelabsh.local","test","No Address Found, manual update required","popetargettest"
"False","False","False","TARGET01.shadetreewoodshop.local","WinLocalSvcUser01","No Address Found, manual update required","Operating System-WinServerLocal-cdeem-TARGET01.shadetreewoodshop.local-WinLocalSvcUser01"
"False","False","False","TARGET01.shadetreewoodshop.local","WinLocalTestUser01","No Address Found, manual update required","Operating System-WinServerLocal-cdeem-TARGET01.shadetreewoodshop.local-WinLocalTestUser01"
"False","False","False","TEST","TEST","No Address Found, manual update required","Operating System-MM-Win-Dom-TEST-TEST"
"False","False","False","test","test","No Address Found, manual update required","Operating System-FR-terst-test-test"
"False","False","False","test.ehopk.com","EHOPKTest","No Address Found, manual update required","Operating System-EHOPK-Check-In-Test-test.ehopk.com-EHOPKTest"
"False","False","False","test.local","logonaccount","No Address Found, manual update required","Operating System-WinDomAdmGillmore-test.local-logonaccount"
"False","False","False","test.local","Reconcile","No Address Found, manual update required","Operating System-WinDomAdmGillmore-test.local-Reconcile"
"False","False","False","Testing","test","No Address Found, manual update required","Operating System-RM_Test-Testing-test"
"False","False","False","UM-CON-02.am.pcloud","lcduser","No Address Found, manual update required","Operating System-AM-UM-EPM-UM-CON-02.am.pcloud-lcduser"
"False","False","False","wintest.saascorp.local","Administrator","No Address Found, manual update required","wintest.saascorp.local-Administrator-f474e0e1-65e8-43da-a9cf-4cb3c80abc84"
"False","False","False","wintest.saascorp.local","Guest","No Address Found, manual update required","wintest.saascorp.local-Guest-74a0dce6-890e-4653-b6c1-6df5adf74ac2"
"False","False","False","wintest.saascorp.local","WDAGUtilityAccount","No Address Found, manual update required","wintest.saascorp.local-WDAGUtilityAccount-ee15aac4-b413-429d-9b61-877e8a801be7"
"True","True","False","192.168.239.60","IPAddress","Address found in DNS","Operating System-WinServerLocal-192.168.239.60-IPAddress"
"True","True","False","pvwav13","Tester","Address found in DNS","Operating System-WinServerLocal-pvwav13-Tester"
"True","True","False","channells.net","chrischannells","Address on account matches DNS","Operating System-MM-Win-Dom-channells.net-chrischannells"
"True","True","False","corp.com","andrewtest","Address on account matches DNS","Operating System-AL-Windows-Domain-Admin-Accounts-corp.com-andrewtest"
"True","True","False","corp.com","cyberark-reconcile-01","Address on account matches DNS","Operating System-mk-demo-corp.com-cyberark-reconcile-01"
"True","True","False","corp.com","cyberark-reconcile-1","Address on account matches DNS","Operating System-UMDomainAdmin-corp.com-cyberark-reconcile-1"
"True","True","False","corp.com","CyberArk-Reconcile-2","Address on account matches DNS","Operating System-MK-DemoServiceAccounts-corp.com-CyberArk-Reconcile-2"
"True","True","False","corp.com","DB-Admin-01","Address on account matches DNS","Operating System-MK-DemoTier1SecurityHigh-corp.com-DB-Admin-02"
"True","True","False","corp.com","DB-Admin-02","Address on account matches DNS","Operating System-MK-DemoTier1SecurityHigh-corp.com-DB-Admin-02 (1)"
"True","True","False","corp.com","Domain-Admin-01","Address on account matches DNS","Operating System-MK-DemoTier1SecurityHigh-corp.com-Domain-Admin"
"True","True","False","corp.com","Domain-Admin-02","Address on account matches DNS","Operating System-MK-DemoTier1SecurityHigh-corp.com-Domain-Admin-02"
"True","True","False","Corp.com","Michael-Admin-01","Address on account matches DNS","Operating System-mk-demo-Corp.com-Michael-Admin1"
"True","True","False","Corp.com","Michael-Admin-02","Address on account matches DNS","Operating System-mk-demo-Corp.com-Michael-Admin2"
"True","True","False","Corp.com","Server-Admin-01","Address on account matches DNS","Operating System-mk-demo-Corp.com-Server-Admin1"
"True","True","False","Corp.com","Server-Admin-02","Address on account matches DNS","Operating System-mk-demo-Corp.com-Server-Admin2"
"True","True","False","Corp.com","SSMS-Admin-01","Address on account matches DNS","Operating System-mk-demo-Corp.com-SSMS-Admin1"
"True","True","False","corp.com","SSMS-Admin-02","Address on account matches DNS","Operating System-MK-DemoTier1SecurityHigh-corp.com-SSMS-Admin-02"
"True","True","False","Corp.com","Workstation-Admin-01","Address on account matches DNS","Operating System-mk-demo-Corp.com-Workstation-Admin1"
"True","True","False","Corp.com","Workstation-Admin-02","Address on account matches DNS","Operating System-mk-demo-Corp.com-Workstation-Admin2"
"True","True","False","cyberark.cloud","dapool_01","Address on account matches DNS","Operating System-UMDomainAdmin-cyberark.cloud-dapool_01"
"True","True","False","cyberark.cloud","frodak_adm","Address on account matches DNS","Operating System-UMDomainAdmin-cyberark.cloud-frodak_adm"
"True","True","False","example.com","mk-example","Address on account matches DNS","Operating System-mk-test-example.com-mk-example"
"True","True","False","example.com","username124","Address on account matches DNS","Operating System-WinDomain-example.com-username124-sox"
"True","True","False","FINAPP05.exFinance.com","AdministratorMM1","Address on account matches DNS","Operating System-WinServerLocal-FINAPP05.exFinance.com-AdministratorMM1"
"True","True","False","FINAPP08.exFinance.com","AdministratorMM4","Address on account matches DNS","Operating System-WinServerLocal-FINAPP08.exFinance.com-AdministratorMM4"
"True","True","False","hopkins.com","domainuser","Address on account matches DNS","Operating System-HopkinsTestWinDomain-hopkins.com-domainuser"
"True","True","False","JSmith.exFinance.com","AdministratorMM2","Address on account matches DNS","Operating System-WinServerLocal-JSmith.exFinance.com-AdministratorMM2"
"True","True","False","lab.local","admin","Address on account matches DNS","Operating System-BAB-WindowsDomainAccount-lab.local-admin"
"True","True","False","lab.local","labuser1","Address on account matches DNS","Operating System-MM-Win-Dom-lab.local-labuser1"
"True","True","False","lab.local","labuser2","Address on account matches DNS","Operating System-MM-Win-Dom-lab.local-labuser2"
"True","True","False","lab.local","TestAccount","Address on account matches DNS","Operating System-BAB-WindowsDomainAccount-lab.local-TestAccount"
"True","True","False","outlook.com","vincentdpope@outlook.com","Address on account matches DNS","Operating System-PopeWindowsDomainAcct-outlook.com-vincentdpope@outlook.com"
"True","True","False","TJones.exFinance.com","AdministratorMM3","Address on account matches DNS","Operating System-WinServerLocal-TJones.exFinance.com-AdministratorMM3"
