"UserName","Address","safeName","secretType","platformId","AccountManaged","manualManagementReason","ManagingCPM","SecretStatus","PlatformName","DualControl","ExclusiveUse","OneTime","RequireReason"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_1","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_2","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_3","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_4","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_5","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_6","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"Bod-UM-PSMC","pcloud-london.com","PSM_Bod_Old_7","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"bpope","popelabsh.local","PPA_I_266","password","PopeWindowsDomainAcct","False","(PPADisable)MaxRetries","BAB_CPM_Primary","failure","PopeWindowsDomainAcct","False","False","False","False"
"CA_Reconcile","shadetreewoodshop.local","SHDTRE-WIN-DOM","password","WinDomain-cdeem","True",,"tater_salad",,"WinDomain - cdeem","False","False","False","False"
"CA-C-PSMADMCON","ARGON.LOCAL","PSM_ArgonL","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"CPM_ArgonL","success","WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"CA-C-PSMCON","ARGON.LOCAL","PSM_ArgonL","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"CPM_ArgonL","success","WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"carecon","mclmcloud.local","mmcaughey","password","MM-Win-Dom","False","(CPM)MaxRetries","HOST-10","failure","MM-Win-Dom","False","False","True","False"
"CA-Reconcile","hbotha.local","HB-Accounts","password","HBOTHA-WinDom","True",,"CPM_HBOTHA","success","HBOTHA-WinDom","False","False","False","False"
"CA-T0Admin","hbotha.local","HB-Accounts","password","HBOTHA-WinDom","True",,"CPM_HBOTHA","success","HBOTHA-WinDom","False","False","False","False"
"CA-T1Admin","hbotha.local","HB-Accounts","password","HBOTHA-WinDom","True",,"CPM_HBOTHA","success","HBOTHA-WinDom","False","False","False","False"
"chris","chrislab.local","ChrisTest","password","CHRISSSSSSPLATFORM","True",,"CONN01",,"CHRISSSSSS PLATFORM","False","False","False","False"
"chrischannells","channells.net","PPA_I_47","password","MM-Win-Dom","False","(PPADisable)","wins2019s",,"MM-Win-Dom","False","False","True","False"
"CPM-MAR","10.0.0.9","CCP-MAR","password","CP-ABZ_Test","True",,"UM-CPM-02",,"CP-ABZ_Test","False","False","False","False"
"cyberarkadmin","cwlab.int","chriswhite_safe2","password","WinDomain","True",,"",,"Windows Domain Account","False","False","False","False"
"cyberark-reconcile-01","corp.com","mkin-test","password","mk-demo","True",,"PCC-02",,"mk-demo","False","False","False","True"
"cyberark-reconcile-1","corp.com","Mkin-ServiceAccounts","password","MK-DemoTier1SecurityHigh","False","(CPM)MaxRetries","PCC-02","failure","MK-Demo Tier 1 Security High","True","False","False","True"
"CyberArk-Reconcile-2","corp.com","Mkin-ServiceAccounts","password","MK-DemoServiceAccounts","True",,"PCC-02",,"MK-Demo Service Accounts","True","False","False","True"
"da_cdeem","shadetreewoodshop.local","tater_salad","password","WinDomain-cdeem","False","No Reason","tater_salad",,"WinDomain - cdeem","False","False","False","False"
"da_tfletch","fletch.local","FletchLocalTesting","password","FletchLocalWinDom","True",,"",,"FletchLocal WinDom","False","False","False","False"
"da-cdeem","cdeemDOM00.local","cdeem-TestSafe00","password","cdeem-WindowsDomainAccount00","False","Testing","cdeem-wincon00",,"cdeem-Windows Domain Account 00","False","False","False","False"
"dapool_01","cyberark.cloud","PPA-FRODAK","password","UMDomainAdmin","False","LAB","UM-CPM-01",,"UM Domain Admin","False","False","False","False"
"DB-Admin-01","corp.com","mk-Demo-DB Team","password","MK-DemoTier1SecurityHigh","True",,"",,"MK-Demo Tier 1 Security High","True","False","False","True"
"DB-Admin-02","corp.com","mk-Demo-DB Team","password","MK-DemoTier1SecurityHigh","True",,"",,"MK-Demo Tier 1 Security High","True","False","False","True"
"DCtest","dualcontroltest","BSherwin_ACL_Test","password","MK-DemoTier1SecurityHigh","True",,"",,"MK-Demo Tier 1 Security High","True","False","False","True"
"DefaultAccount","bcconn01.bjc-cyb.local","Collins_WIN_DOM","password","CollinsWinDomAcct","False","(CPM)MaxRetries","bcconn01","failure","Collins Win Dom Acct","False","False","False","False"
"deleteme","delete me","mkin-test","password","mk-test","False","No Reason","PCC-02",,"mk-test","False","False","False","True"
"distest1","popelabsh.local","popetest","password","PopeWindowsDomainAcct","True",,"conpope131",,"PopeWindowsDomainAcct","False","False","False","False"
"Distest2","popelabsh.local","popetest","password","PopeWindowsDomainAcct","True",,"conpope131",,"PopeWindowsDomainAcct","False","False","False","False"
"distest4","popelabsh.local","popetest","password","PopeWindowsDomainAcct","True",,"conpope131",,"PopeWindowsDomainAcct","False","False","False","False"
"DOM2-PSM-Admin-Con","AM.PCLOUD","PSM","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"CONN01",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"DOM2-PSM-Con","AM.PCLOUD","PSM","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"CONN01","success","WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"domainadmin01","ds-lab.local","Drew_Saffrin_test1","password","Drew_Saffrin_test1-Win-Dom-dslab","True",,"",,"Drew_Saffrin_test1-Win-Dom-dslab","False","False","False","False"
"Domain-Admin-01","corp.com","mk-Demo-Server Team","password","MK-DemoTier1SecurityHigh","True",,"PCC-02",,"MK-Demo Tier 1 Security High","True","False","False","True"
"Domain-Admin-02","corp.com","mk-Demo-Server Team","password","MK-DemoTier1SecurityHigh","True",,"PCC-02",,"MK-Demo Tier 1 Security High","True","False","False","True"
"domainadmin4","bige.test","Eric_CM_TEST","password","MEH-WindowsDomainAccount","True",,"cm-test2","success","MEH-Windows Domain Account","False","False","False","False"
"domainnetbios","lab","BABTest","password","BAB-WindowsDomainAccount","True",,"",,"BAB - Windows Domain Account","True","True","True","True"
"domainuser","hopkins.com","HopkinsDualControlTest","password","HopkinsTestWinDomain","True",,"CONN01",,"Hopkins Test Win Domain","False","False","False","False"
"DOM-PSM-Admin-Con","AM.PCLOUD","PSM","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"CONN01",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"DOM-PSM-Con","AM.PCLOUD","PSM","password","WIN-DOM-PSMADMIN-ACCOUNT","True",,"CONN01",,"WIN-DOM-PSMADMIN-ACCOUNT","False","False","False","False"
"douglas.boddington@cyberark.com","https://portal.azure.com","BOD-WIN-SAFE","password","GenericAzurePortal-DB","True",,"BOD-UM-CPM1",,"Generic Azure Portal - DB","False","False","False","False"
"dpa","saascorp.local","saascorp-dpa","password","EDS-DA","True",,"CONN01",,"EDS-DA","False","False","False","False"
"dualcontroltestuser","NA","HopkinsDualControlTest","password","HopkinsDualControlTest","True",,"CONN01",,"HopkinsDualControlTest","True","False","False","False"
"EHOPKTest","test.ehopk.com","EHOPK-Check-In-Test","password","EHOPK-Check-In-Test","False","(CPM)MaxRetries","CONN01","failure","EHOPK-Check-In-Test","False","False","True","False"
"esarikas","eds-lab.local","mig-testsafe","password","WinDomain","True",,"CONN01",,"Windows Domain Account","False","False","False","False"
"esarikas","saascorp.local","Domain Admins","password","UMDomainAdmin","False","Make sure it is simple to enter lab servers","CONN01","success","UM Domain Admin","False","False","False","False"
"fisher_sysadmin","aal4797.my.idaptive.app","PPA-FRODAK","password","Michael-Identity","True",,"UM-CPM-01",,"Michael - Identity","False","False","False","False"
"fpope","10.0.0.5","popetest","key","Pope-Unix-Keys","True",,"conpope131",,"Pope-Unix-Keys","False","False","False","False"
"fpope","popelabsh.local","PopeWindowsDom","password","PopeWindowsDomainAcct","True",,"conpope131","success","PopeWindowsDomainAcct","False","False","False","False"
"fpope@cyberark.cloud.1024","servicesum.cyberark.cloud","popetest","password","Pope-Identity","True",,"conpope131","success","Pope-Identity","False","False","False","False"
"frodak_adm","cyberark.cloud","PPA-FRODAK","password","Win-Dom-ModernHTML5","False","LAB","UM-CPM-01",,"Win-Dom-ModernHTML5","False","False","False","False"
"Guest","ad-conn1.saascorp.local","Domain Admins","password","WinServerLocal","False","(CPM)MaxRetries","CONN01","failure","Windows Server Local Accounts","False","False","False","False"
"Guest","bcconn01.bjc-cyb.local","Collins_WIN_DOM","password","CollinsWinDomAcct","False","(CPM)MaxRetries","bcconn01","failure","Collins Win Dom Acct","False","False","False","False"
"Guest","wintest.saascorp.local","Mkin-Demo-Safe","password","WinDesktopLocal","True",,"PCC-02",,"Windows Desktop Local Accounts","False","False","False","False"
"henningadm","saascorp.local","HB-Accounts","password","HBOTHA-WinDom","True",,"CPM_HBOTHA",,"HBOTHA-WinDom","False","False","False","False"
"hex","servicesum.cyberark.cloud/","mmcaughey","password","Michael-Identity","False","(CPM)MaxRetries","HOST-10","failure","Michael - Identity","False","False","False","False"
"Hex for safeadmin","servicesum.cyberark.cloud","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"iain","10.0.0.9","PPA-IainMarsh","password","IMARSH-UnixViaSSH","True",,"marshycloudpoc-cp","success","IMARSH-Unix Via SSH","False","False","False","False"
"iain","marshycloud.local","PPA-IainMarsh","password","WindowsDomainIainMarsh","True",,"marshycloudpoc-cp","success","Windows Domain Iain Marsh","False","False","False","False"
"ian","ianslab.local","IanTest","password","IANSPLATFORM","True",,"CONN01",,,,,,
"IPAddress","192.168.239.60","BABTest","password","WinServerLocal","True",,"",,"Windows Server Local Accounts","False","False","False","False"
"karim","karimdc.mydomain.com","KarimH","password","WindowsDomainAccountKarimh","True",,"CPMAZURE",,"Windows Domain Account Karimh","False","False","False","False"
"labuser1","lab.local","125Test","password","MM-Win-Dom","False","(CPM)MaxRetries","CONN01","failure","MM-Win-Dom","False","False","True","False"
"labuser2","lab.local","125Test","password","MM-Win-Dom","False","(CPM)MaxRetries","CONN01","failure","MM-Win-Dom","False","False","True","False"
"l-admin","10.0.0.6","Mkin-Demo-Safe","password","Mkin-SSH","True",,"PCC-02",,"Mkin-SSH","False","False","False","False"
"l-admin","10.0.0.6","mkin-test","password","mkinsshwithoutkeystrokelogging","True",,"PCC-02",,"mkin ssh without keystroke logging","False","False","False","False"
"lcduser","UM-CON-02.am.pcloud","AM-UM-EPM","password","AM-UM-EPM","False","(CPM)MaxRetries","UM-CPM-01","failure","AM-UM-EPM","False","False","False","False"
"localADM2","bodprivclient2.pcloud-london.com","BOD-WIN-SAFE","password","BOD-WIN-LOC","True",,"BOD-UM-CPM1","success","BOD-WIN-LOC","False","False","False","False"
"localadmin","Laptop1@saascorp.local","alawson-demo","password","WinLooselyDevice","False","Loosely connected device password change is pending (ExpirationPeriod)","UM-CPM-02",,"Windows Loosely Device","False","False","False","False"
"Local-Admin-01","192.168.100.2","mk-Demo-Server Team","password","MK-DemoTier2SecurityLow","True",,"PCC-02",,"MK-Demo Tier 2 Security Low","False","False","False","True"
"Local-Admin-02","192.168.100.3","mk-Demo-Server Team","password","MK-DemoTier2SecurityLow","True",,"PCC-02",,"MK-Demo Tier 2 Security Low","False","False","False","True"
"logonaccount","test.local","JGillmoreTest","password","WinDomAdmGillmore","True",,"",,"WinDomAdmGillmore","False","False","False","False"
"LOGON-argonl-safemanager@cyberark.cloud.1024","servicesum.cyberark.cloud","PPA-ArgonL2","password","CyberArkIdentitySecurity-AL","False","OTP Hex Key","CPM-ArgonL-ST1",,"Cyberark Identity Security - ArgonL","False","False","False","False"
"LogonforAESM","servicesum.cyberark.cloud","mmcaughey","password","CyberArkIdentitySecurity","False","TEST","HOST-10",,"Cyberark Identity Security","False","False","False","False"
"mcaugm01","10.0.0.2","MM-Win-Dom","password","MM-Win-Dom","False","(CPM)MaxRetries","mcaugm01_cpm","failure","MM-Win-Dom","False","False","True","False"
"Mcaugm01","en.wikipedia.org/w/index.php?title=Special:UserLogin","MM-Win-Dom","password","Wikipedia","False","(CPM)UnrecoverableError","mcaugm01_cpm","failure","Wikipedia","False","False","False","False"
"MCLM1","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclm2","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclm3","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclm4","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclmrecon1","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclmrecon2","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclmrecon3","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"mclmrecon4","0.0.0.0","mmcaughey","password","Michael-Identity","True",,"HOST-10",,"Michael - Identity","False","False","False","False"
"MEH-DA1","saascorp.local","MEH_DA","password","MEH-DomainAdmins","True",,"CONN01","success","MEH-Domain Admins","False","False","False","False"
"MEH-DA2","saascorp.local","MEH_DA","password","MEH-DomainAdmins","True",,"CONN01","success","MEH-Domain Admins","False","False","False","False"
"MEH-DA3","saascorp.local","MEH_DA","password","MEH-DomainAdmins","True",,"CONN01","success","MEH-Domain Admins","False","False","False","False"
"MEH-HELPDESK1","saascorp.local","MEH_HELPDESK","password","MEH-WindowsDomainAccount","True",,"CONN01","success","MEH-Windows Domain Account","False","False","False","False"
"MEH-SA1","saascorp.local","MEH_SA","password","MEH-WindowsDomainAccount","True",,"CONN01","success","MEH-Windows Domain Account","False","False","False","False"
"MEH-SA2","saascorp.local","MEH_SA","password","MEH-WindowsDomainAccount","True",,"CONN01","success","MEH-Windows Domain Account","False","False","False","False"
"MEH-SA3","saascorp.local","MEH_SA","password","MEH-WindowsDomainAccount","True",,"CONN01","success","MEH-Windows Domain Account","False","False","False","False"
"MEH-SQL_SA1","saascorp.local","MEH_SQL","password","MEH-SQLDomainAccount","True",,"CONN01",,"MEH-SQL Domain Account","False","False","False","False"
"MEH-UNIX_ADM1","saascorp.local","MEH_UNIX","password","MEH-UNIXDomianAccount","True",,"CONN01","success"," MEH-UNIX Domian Account","False","False","False","False"
"Michael 1","10.0.0.0","MM-Win-Dom","password","MM-Win-Dom","False","Test","mcaugm01_cpm",,"MM-Win-Dom","False","False","True","False"
"Michael 2","10.0.0.1","MM-Win-Dom","password","MM-Win-Dom","False","(CPM)MaxRetries","mcaugm01_cpm","failure","MM-Win-Dom","False","False","True","False"
"michael.kinsella","cyberark.cloud.1024","Mkin-Demo-Safe","password","mk-test","False","No Reason","PCC-02",,"mk-test","False","False","False","True"
"michael.mcaughey@cyberark.cloud.1024","servicesum.cyberark.cloud","mmcaughey","password","Michael-Identity","False","(CPM)MaxRetries","HOST-10","failure","Michael - Identity","False","False","False","False"
"Michael-Admin-01","Corp.com","Mkin-Demo-Safe","password","mk-demo-platform","True",,"PCC-02","success","mk-demo-platform","False","False","False","False"
"Michael-Admin-02","Corp.com","Mkin-Demo-Safe","password","mk-demo","True",,"PCC-02","success","mk-demo","False","False","False","True"
"mk-example","example.com","mkin-test","password","mk-test","True",,"PCC-02",,"mk-test","False","False","False","True"
"mkin-demo1","saascorp.local","mkin-demo-safe-saascorplocal","password","UMDomainAdmin","False","(CPM)MaxRetries","CONN01","failure","UM Domain Admin","False","False","False","False"
"mkin-demo2","saascorp.local","z1","password","UMDomainAdmin","True",,"",,"UM Domain Admin","False","False","False","False"
"mkinsella","cyberark.cloud.1024","Mkin-Demo-Safe","password","mk-test","True",,"PCC-02",,"mk-test","False","False","False","True"
"mkin-test","saascorp.local","mkin-demo-safe-saascorplocal","password","UMDomainAdmin","False","(CPM)MaxRetries","CONN01","failure","UM Domain Admin","False","False","False","False"
"mktest","saascorp.local","mkin-demo-safe-saascorplocal","password","UMDomainAdmin","False","(CPM)MaxRetries","CONN01","failure","UM Domain Admin","False","False","False","False"
"mm","10.0.0.0","PPA_I_545","password","MM-Win-Dom","False","(PPADisable)MaxRetries","BAB_CPM_Primary","failure","MM-Win-Dom","False","False","True","False"
"mm","mm.mclmcloud.local","mmcaughey","password","WinDesktopLocal","True",,"HOST-10",,"Windows Desktop Local Accounts","False","False","False","False"
"MMAdmin","SQL.mclmcloud.local","MM-Win-Dom","password","MM-LCD","True",,"mcaugm01_cpm","success","MM-LCD","False","False","False","False"
"mmcaughey","https://support.cyberark.com/SFE/services.aspx","mmcaughey","password","MichaelWebSites","True",,"HOST-10",,"Michael Web Sites","False","False","False","False"
"mmcaughey","support.cyberark.com","mmcaughey","password","MichaelWebSites","True",,"HOST-10",,"Michael Web Sites","False","False","False","False"
